market,display_bank_name,bank_name,pis_capabilities
FR,Crédit Agricole de Provence Côte d'Azur,fr-creditagricoleprovencecotesdazur-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole Pyrénées Gascogne,fr-creditagricolepyreneesgascogne-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole des Savoie,fr-creditagricolesavoie-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole Sud Méditerranée,fr-creditagricolesudmediterranee-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole Sud Rhône-Alpes,fr-creditagricolesudrhonealpes-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole Toulouse 31,fr-creditagricoletoulouse31-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole Val De France,fr-creditagricolevaldefrance-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Mutuel,fr-creditmutuel-oauth2,"{PIS_FUTURE_DATE,SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Mutuel de Bretagne,fr-creditmutueldebretagne-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Mutuel du Sud-Ouest,fr-creditmutuelsudouest-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Fortuneo,fr-fortuneo-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Hello bank!,fr-hellobank-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,La Banque Postale,fr-labanquepostale-ob,"{PIS_FUTURE_DATE,SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,LCL,fr-lcl-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,MonaBanq,fr-monabanq-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,N26,fr-n26-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Revolut,fr-revolut-ob,{SEPA_CREDIT_TRANSFER}
FR,Société Générale,fr-societegenerale-ob,"{PIS_FUTURE_DATE,SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
