Country,Bank,BankName value,Schemes
NO,SpareBank 1 Hallingdal Valdres,no-sparebank1hallingdal-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,SpareBank 1 Lom og Skjåk,no-sparebank1lom-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,SpareBank 1 Nord-Norge,no-sparebank1nordnorge-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,SpareBank 1 Nordmøre,no-sparebank1nordvest-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,SpareBank 1 Østfold Akershus,no-sparebank1ostfold-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,SpareBank 1 Østlandet,no-sparebank1ostlandet-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,SpareBank 1 Ringerike Hadeland,no-sparebank1ringerike-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,SpareBank 1 SMN,no-sparebank1smn-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,SpareBank 1 Sør-Norge (SR-Bank),no-sparebank1sr-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Sparebank 68° Nord,no-sparebank68nord-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Sparebanken DIN,no-sparebankendin-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Sparebanken Møre,no-sparebankenmore-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Sparebanken Narvik,no-sparebankennarvik-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Sparebanken Øst,no-sparebankenost-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,SpareBank 1 Sogn og Fjordane,no-sparebankensogn-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Sparebanken Sør,no-sparebankensor-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
